Location,Attendance_Numbers,Age,Visitor_Demographics,Economic_Impact,Music_Genre,Festival_Name
 UK,200000,18-35, Music Enthusiasts,£100 million,Various,Glastonbury Festival
 Belgium,400000,18-30, EDM Fans,,EDM,Tomorrowland
 Hungary,500000,18-40, International Attendees,€130 million,Variious,Sziget Festival
 Germany,90000,20-40, Rock Fans,€80 million,Rock,Rock am Ring
 Denmark,130000,18-40, Alternative Music Lovers,DKK 70 million,Alternative,Roskilde Festival
 UK,100000,16-35, Rock and Indie Fans,£60 million,Rock/Indie,Reading Festival
,60000,, Jazz Enthusiasts,€20 million,Jazz,Nice Jazz Festival
 Spain,,18-35, Pop and Indie Fans,€15 million,Pop/Indie,FIB Benicassim
 Serbia,,18-30, Electronic and Rock Faans,€50 million,Electronic/Rock,EXIT Festival
 Spain,200000,20-40, Indie and Electronic Music Lovers,€70 million,Indie/Electronic,Primavera Sound
 Germany,100000,18-35, Alternative Music Fans,€40 million,Alternative,Hurricane Festival
 Belgium,200000,18-35, Diverse Music Genres,€60 million,Various,
 Spain,150000,16-30, Pop and Rock Fans,€30 million,Pop/Rock,Mad Cool Festival
 Belgium,200000,18-35, Rock and Electronic Fans,€55 million,Rock/Electronic,Pukkelpop
 Belgium,3,18-40, Rocck Enthusiasts,€85 million,Rock,Graspop Metal Meeting
   SPAIN  ,100000,20-40, Electronic Music Fans,€35 million,Electronic,Sonsr Festival
 Germany,75000,18-45, Mrtal Fans,€45 million,Metal,Wacken Open Air
 UK,80000,18-35, Rock and Pop Fans,£40 million,Rock/Pop,Isle of Wight Festival
   NETHERLAND  ,90000,18-30, EDM Fans,€25 million,EDM,Mysteyrland
 UK,40000,18-35, Indie and Alternative Music Fans,£15 million,Indie/Alternative,Latitude Festival
 UK,15000000,18-40, Diverse Music and Arts Fans,£20 million,Various,Bestival
 UK,30000,18-35, Music and Action Sports Fans,£12 million,Various,Boardmastera Festival
 UK,,18-40, Indie and Folk Music Fans,£10 million,Indie/Folk,End of the Road Festoval
 Germany,40000,, Metal and Hardcore Fans,€30 million,,Summer Breeze Open Air
 UK,80000,18-30, Electronic and Indie Music Fans,£25 million,Electronic/Indie,
 UK,60000,18-35, EDM Fans,-€5 million,EDM,Creamfields
 Australia,,18-35, Indie and Electronic Fans,AU$20 million,,Splendour in the Grass
 UK,70000,18-35, EDM Fans,£35 million,EDM,V Festival
,20000,25-60, Jazz and Blues Fans,CHF 10 million,Jazz/Blues,Montreux Jazz Festival
 Uganda,20000,18-40, Afrobeat and Electronic Fans,USD 5 million,Afrobeat/Electronic,Nyege Nyege Festival
 Spain,35000,18-40, Indie and Electronic Fans,€18 million,Indie/Electronic,Arenal Sound
 USA,47000,25-50, Film and Music Fans,USD 25 million,Varius,South by Southwest (SXSW)
 Spain,80000,18-35, Rock and Alternative Fans,€45 million,Rock/Alternative,Vina Rock
 Pokand,60000,18-35, Diverse Music Genres,PLN 30 million,Various,Open'er Festival
 Switzerland,30000,18-40, Pop and Rock Fans,CHF 8 million,Pop/Rock,Paleo Festival
,45000,18-35, Electronic and Urban Music Fans,£22 million,Electronic/Urban,Wireless Festival
 Greece,30000,18-35, Rock and Electronic Fans,€12 million,Rock/Electronic,Rockwave Festival
 Finland,35000,18-35, Pop and Rock Fans,€10 million,Pop/Rock,Ruisrock
 Germany,50000,18-35, Electronic and Indie Fans,€25 million,Electronic/Indie,Melt Festival
 UK,30000,18-35, Electronic and Dance Fans,,Electronic/Dance,Field Day Festival
 UK,60000,18-40, Diverse Music and Arts Fans,,Various,Kendal Calling
 USA,125000,18-40, Various Music Fans,USD 50 million,Various,Lollapalooza
 France,-20000,18-35, Rock and Electronic Fans,€30 million,Rock/Electronic,Rock en Seine
 Spain,35000,18-35, Electronic and Rock Fans,€15 million,Electronic/Rock,Dreambeach Festival
 Mexico,40000,25-60, Jazz Fans,MXN 20 million,Jazz,Riviera Maya Jazz Festival
 USA,70000,18-50, Art and Music Fans,USD 40 million,Various,Electric Forest
 USA,20000,25-60, Classical Music Fans,USD 8 million,Classical,Tanglewood Music Festival
 Spain,50000,18-35, Rock and Pop Fans,€22 million,Rock/Pop,Download Festival Madrid
 UK,30000,18-40, Rock and Alternative Fans,£15 million,Rock/Alternative,2000trees Festival
 UK,80000,18-35, Rock and Alternative Fans,£35 million,Rock/Alternative,Download Festival
 Germany,35000,18-40,,€18 million,Electronic/Rock,Fusion Festival
 Hungary,20000,25-60, Jazz Fans,€12 million,Jazz,Budapest Jazz Festival
 Sweden,20000,18-60, Film and Music Fans,SEK 8 million,Various,Gothenburg Film & Music Festival
 Germany,25000,18-35, Electronic and Alternative Fans,€12 million,Electronic/Alternative,Melt! Fringe Electronic Stage
 Romania,50000,18-35, Electronic and Rock Fans,€25 million,Electronic/Rock,Electric Castle Festival
 UK,20000,, Emegring Artists and Indie Fans,£10 million,,Great Escape Festival
 Canada,30000,25-60,,CAD 10 million,Jazz,Montreal International Jazz Festival
,25000,18-50, Various Music Genres,SEK 12 million,Various,Way Out West Festival
